State,DataCenters
California,319
Texas,392
Georgia,642
Illinois,223
New York,142
Virginia,642
Florida,125
Washington,128
Arizona,162
Massachusetts,50
New Jersey,82
North Carolina,100
Pennsylvania,97
Ohio,191
Michigan,57
Minnesota,73
Indiana,74
Wisconsin,47
Colorado,60
Utah,45
Nevada,61
Oregon,137
Tennessee,60
Missouri,48
Alabama,26
Louisiana,23
Oklahoma,36
Iowa,39
Kansas,18
Nebraska,22
South Carolina,29
Kentucky,37
Arkansas,6
Mississippi,10
New Mexico,22
Idaho,15
Montana,25
Wyoming,10
Maine,8
New Hampshire,3
Connecticut,61
Rhode Island,7
Delaware,19
Vermont,3
West Virginia,7
North Dakota,22
South Dakota,5
