State,LiteracyRate
Massachusetts,225.0
New Jersey,222.0
Wyoming,222.0
Colorado,221.0
New Hampshire,221.0
Indiana,220.0
Connecticut,219.0
Mississippi,219.0
Utah,219.0
Florida,218.0
Kentucky,218.0
Montana,217.0
Hawaii,216.0
Idaho,216.0
Louisiana,216.0
Maryland,216.0
North Dakota,216.0
Ohio,216.0
Pennsylvania,216.0
Rhode Island,216.0
Washington,216.0
Iowa,215.0
New York,215.0
South Carolina,215.0
Tennessee,215.0
Wisconsin,215.0
Georgia,214.0
Illinois,214.0
Minnesota,214.0
South Dakota,214.0
Virginia,214.0
Alabama,213.0
Kansas,213.0
Nevada,213.0
North Carolina,213.0
Vermont,213.0
California,212.0
Missouri,212.0
Nebraska,212.0
Texas,212.0
Arkansas,210.0
Delaware,210.0
Maine,210.0
District of Columbia,209.0
Michigan,209.0
Arizona,208.0
Oklahoma,207.0
Oregon,207.0
West Virginia,206.0
Alaska,202.0
New Mexico,201.0
United States,214.16
