State,Price_per_Acre
Alabama,4720
Alaska,1300
Arizona,4180
Arkansas,3580
California,13700
Colorado,2290
Connecticut,14400
Delaware,9500
Florida,8700
Georgia,5470
Hawaii,1200
Idaho,4480
Illinois,8890
Indiana,9350
Iowa,9790
Kansas,3850
Kentucky,5480
Louisiana,4250
Maine,3350
Maryland,7750
Massachusetts,14900
Michigan,6800
Minnesota,7690
Mississippi,4150
Missouri,5000
Montana,1230
Nebraska,4250
Nevada,1200
New Hampshire,6500
New Jersey,16600
New Mexico,725
New York,3490
North Carolina,6100
North Dakota,2960
Ohio,8490
Oklahoma,2540
Oregon,3710
Pennsylvania,8490
Rhode Island,22500
South Carolina,4730
South Dakota,2970
Tennessee,6150
Texas,2970
Utah,3500
Vermont,4400
Virginia,3520
Washington,3780
West Virginia,3750
Wisconsin,6420
Wyoming,1000
